baseline_entry,baseline_entry_price,baseline_exit,baseline_exit_price,baseline_reason,baseline_return,one_day_trades,one_day_compound_return,delta,status,changed,one_day_sequence
2019-04-23,171.4477996826172,2019-07-12,276.2767028808594,SMA50,0.6114333540138783,1,0.5672644444826151,-0.04416890953126318,peggiora,True,2019-04-23->2019-07-11 SMA50 56.73%
2020-06-02,237.21905517578125,2020-07-17,232.7730865478516,SMA50,-0.0187420383435688,2,-0.09073535914602326,-0.07199332080245446,peggiora,True,2020-06-02->2020-06-27 SMA50 -6.01%; 2020-07-06->2020-07-16 SMA50 -3.26%
2020-07-21,245.0167236328125,2020-09-04,388.24114990234375,Trail8,0.5845495937827108,1,0.5845495937827108,0.0,uguale,False,2020-07-21->2020-09-04 Trail8 58.45%
2020-10-12,387.7312622070313,2020-10-17,368.8559265136719,SMA50,-0.04868149033409852,1,-0.055456602024780866,-0.006775111690682345,peggiora,True,2020-10-12->2020-10-16 SMA50 -5.55%
2020-10-21,392.1899719238281,2021-02-26,1446.03369140625,SMA50,2.6870746192539094,1,2.7627268441177186,0.07565222486380918,migliora,True,2020-10-21->2021-02-25 SMA50 276.27%
2021-03-17,1823.4493408203125,2021-03-23,1678.650146484375,SMA50,-0.079409496658019,1,-0.07245353818597333,0.006955958472045665,migliora,True,2021-03-17->2021-03-22 SMA50 -7.25%
2021-03-31,1918.362060546875,2021-05-22,2295.70556640625,SMA50,0.1967008802039194,1,0.2826980108839696,0.08599713068005022,migliora,True,2021-03-31->2021-05-19 SMA50 28.27%
2021-07-26,2233.36669921875,2021-09-07,3426.394287109375,Trail8,0.5341834765907254,1,0.5341834765907254,0.0,uguale,False,2021-07-26->2021-09-07 Trail8 53.42%
2021-10-01,3307.51611328125,2021-11-27,4096.912109375,SMA50,0.2386673168193949,2,0.12322181672836519,-0.11544550009102972,peggiora,True,2021-10-01->2021-11-18 SMA50 20.96%; 2021-11-23->2021-11-26 SMA50 -7.14%
2021-11-30,4631.47900390625,2021-12-04,4119.58740234375,SMA50,-0.1105244353112178,1,-0.08869152788392187,0.021832907427295933,migliora,True,2021-11-30->2021-12-03 SMA50 -8.87%
2023-02-15,1673.7459716796875,2023-03-04,1566.9239501953125,SMA50,-0.06382212312491709,1,-0.062481625593204804,0.0013404975317122814,migliora,True,2023-02-15->2023-03-03 SMA50 -6.25%
2023-03-13,1680.3089599609375,2023-04-20,1943.09765625,Trail8,0.15639308160040488,1,0.15639308160040488,0.0,uguale,False,2023-03-13->2023-04-20 Trail8 15.64%
2023-05-05,1995.0609130859373,2023-05-08,1849.042724609375,SMA50,-0.07318983972810289,1,-0.06114324443439079,0.012046595293712103,migliora,True,2023-05-05->2023-05-07 SMA50 -6.11%
2023-05-28,1910.9141845703125,2023-06-01,1862.201416015625,SMA50,-0.025491866117285156,1,-0.019249263888070023,0.006242602229215133,migliora,True,2023-05-28->2023-05-31 SMA50 -1.92%
2023-06-02,1907.256591796875,2023-06-08,1846.3018798828125,SMA50,-0.0319593662311769,1,-0.05003428645452712,-0.01807492022335022,peggiora,True,2023-06-02->2023-06-05 SMA50 -5.00%
2023-06-21,1891.0072021484373,2023-08-03,1835.136474609375,SMA50,-0.029545486381852837,2,-0.03877659589926541,-0.009231109517412572,peggiora,True,2023-06-21->2023-07-24 SMA50 -2.17%; 2023-08-01->2023-08-02 SMA50 -1.75%
2023-11-22,2064.42529296875,2024-01-23,2240.68603515625,SMA50,0.08538005360999423,1,0.11935579547784814,0.033975741867853904,migliora,True,2023-11-22->2024-01-22 SMA50 11.94%
2024-01-31,2282.54443359375,2024-02-01,2303.82470703125,SMA50,0.009323048929214206,0,0.0,-0.009323048929214206,peggiora,True,nessuna operazione
2024-02-06,2372.201904296875,2024-03-15,3735.22021484375,Trail8,0.5745793846965468,1,0.5745793846965468,0.0,uguale,False,2024-02-06->2024-03-15 Trail8 57.46%
2024-04-08,3695.292724609375,2024-04-12,3243.034912109375,SMA50,-0.12238754713209021,1,-0.051428922155304924,0.07095862497678529,migliora,True,2024-04-08->2024-04-11 SMA50 -5.14%
2024-06-20,3511.0869140625,2024-06-24,3350.25634765625,SMA50,-0.045806489654840576,1,-0.02633802577938804,0.019468463875452535,migliora,True,2024-06-20->2024-06-23 SMA50 -2.63%
2024-07-15,3489.552734375,2024-07-17,3388.75244140625,SMA50,-0.028886307398590994,1,-0.013193469233778732,0.01569283816481226,migliora,True,2024-07-15->2024-07-16 SMA50 -1.32%
2024-07-19,3505.73486328125,2024-07-25,3174.42724609375,SMA50,-0.09450447056267319,1,-0.04831954338211175,0.04618492718056144,migliora,True,2024-07-19->2024-07-24 SMA50 -4.83%
2024-12-09,3718.6904296875,2024-12-22,3277.53515625,SMA50,-0.1186318898490758,1,-0.10258127821900509,0.01605061163007071,migliora,True,2024-12-09->2024-12-21 SMA50 -10.26%
2025-01-07,3381.577392578125,2025-01-08,3326.329345703125,SMA50,-0.016337951334858714,0,0.0,0.016337951334858714,migliora,True,nessuna operazione
2025-07-02,2571.33544921875,2025-07-05,2517.280029296875,SMA50,-0.02102231349795247,1,-0.024429771965754465,-0.0034074584678019937,peggiora,True,2025-07-02->2025-07-04 SMA50 -2.44%
2025-07-07,2543.01318359375,2025-09-23,4165.50390625,SMA50,0.6380189977479271,1,0.6527155535492755,0.014696555801348321,migliora,True,2025-07-07->2025-09-22 SMA50 65.27%
2025-10-02,4487.923828125,2025-10-10,3843.0087890625,SMA50,-0.14370008577706583,1,-0.026466642034591925,0.11723344374247391,migliora,True,2025-10-02->2025-10-09 SMA50 -2.65%
