trail_exit_date,trail_exit_price,trade_entry_date,trade_return_at_exit,next_entry_date,next_entry_price,days_to_reentry,reentry_delta,reentry_advantage,baseline_exit_date,baseline_exit_price,baseline_move_after_trail_exit
2019-06-27,294.26763916015625,2019-04-23,0.7163687122547049,2019-06-28,311.2261047363281,1,0.05762939351595553,svantaggioso: rientro piu' alto,2019-07-12,276.2767028808594,-0.06113800460914853
2020-09-03,385.67193603515625,2020-07-21,0.5740637223324101,2020-10-12,387.7312622070313,39,0.005339580040605751,svantaggioso: rientro piu' alto,2020-09-04,388.24114990234375,0.006661656260499305
2020-11-26,518.8011474609375,2020-10-21,0.3228312414925796,2020-11-27,517.4937133789062,1,-0.0025201063807008817,vantaggioso: rientro piu' basso,2021-02-26,1446.03369140625,1.7872600098964262
2021-01-11,1090.1453857421875,2020-11-27,1.1065867228110435,2021-01-22,1236.51220703125,11,0.13426357915500753,svantaggioso: rientro piu' alto,2021-02-26,1446.03369140625,0.32645948909077704
2021-04-07,1971.0772705078125,2021-03-31,0.02747928091629892,2021-04-17,2344.89501953125,10,0.18965149394023006,svantaggioso: rientro piu' alto,2021-05-22,2295.70556640625,0.16469587507079453
2021-05-12,3785.8486328125,2021-04-17,0.6145066628907336,2021-07-26,2233.36669921875,75,-0.4100750146580514,vantaggioso: rientro piu' basso,2021-05-22,2295.70556640625,-0.3936087284343499
2021-09-07,3426.394287109375,2021-07-26,0.5341834765907254,2021-10-01,3307.51611328125,24,-0.03469483190401146,vantaggioso: rientro piu' basso,2021-09-07,3426.394287109375,0.0
2021-11-23,4340.763671875,2021-10-01,0.3123938094949166,2021-11-25,4274.7431640625,2,-0.01520942230517297,vantaggioso: rientro piu' basso,2021-11-27,4096.912109375,-0.056177110972426614
2021-12-03,4220.7060546875,2021-11-30,-0.08869152788392187,2023-02-15,1673.7459716796875,439,-0.6034440802100323,vantaggioso: rientro piu' basso,2021-12-04,4119.58740234375,-0.023957757548988323
2023-04-19,1936.4034423828125,2023-03-13,0.15240916315046515,2023-05-05,1995.0609130859373,16,0.030291967788977248,svantaggioso: rientro piu' alto,2023-04-20,1943.09765625,0.0034570346864029045
2024-03-15,3735.22021484375,2024-02-06,0.5745793846965468,2024-04-08,3695.292724609375,24,-0.010689460845093812,vantaggioso: rientro piu' basso,2024-03-15,3735.22021484375,0.0
2025-08-18,4312.5048828125,2025-07-07,0.6958248233373803,2025-08-25,4372.98779296875,7,0.014025006765164383,svantaggioso: rientro piu' alto,2025-09-23,4165.50390625,-0.034087144375968825
