operation,entry_date,entry_price,exit_date,exit_price,exit_reason,return,days,max_gain,max_drawdown_from_entry,baseline_entry_date,baseline_exit_date,baseline_exit_price,baseline_hold_return_from_same_entry,delta_vs_baseline_hold,relation,improves_vs_baseline_hold,comparison_status
1,2019-04-23,171.4477996826172,2019-06-27,294.26763916015625,Trail8 priority,0.7163687122547049,65,0.9641732028729433,-0.09908790519190858,2019-04-23,2019-07-12,276.2767028808594,0.6114333540138783,0.10493535824082656,exits before baseline,True,migliora
2,2019-06-28,311.2261047363281,2019-07-12,276.2767028808594,Official sell,-0.1122958560467735,14,0.028380634063252197,-0.1366275629257041,2019-04-23,2019-07-12,276.2767028808594,-0.1122958560467735,0.0,same exit as baseline,False,uguale
3,2020-06-02,237.21905517578125,2020-07-17,232.7730865478516,Official sell,-0.0187420383435688,45,0.04310737645297413,-0.060110104031881884,2020-06-02,2020-07-17,232.7730865478516,-0.0187420383435688,0.0,same exit as baseline,False,uguale
4,2020-07-21,245.0167236328125,2020-09-03,385.67193603515625,Trail8 priority,0.5740637223324101,44,0.9470177517976741,0.0,2020-07-21,2020-09-04,388.24114990234375,0.5845495937827108,-0.010485871450300666,exits before baseline,False,peggiora
5,2020-10-12,387.7312622070313,2020-10-17,368.8559265136719,Official sell,-0.04868149033409852,5,0.0,-0.055456602024780866,2020-10-12,2020-10-17,368.8559265136719,-0.04868149033409852,0.0,same exit as baseline,False,uguale
6,2020-10-21,392.1899719238281,2020-11-26,518.8011474609375,Trail8 priority,0.3228312414925796,36,0.551426818851755,-0.02389147043006845,2020-10-21,2021-02-26,1446.03369140625,2.6870746192539094,-2.36424337776133,exits before baseline,False,peggiora
7,2020-11-27,517.4937133789062,2021-01-11,1090.1453857421875,Trail8 priority,1.1065867228110435,45,1.4755417068609185,0.0,2020-10-21,2021-02-26,1446.03369140625,1.7943019480653506,-0.6877152252543071,exits before baseline,False,peggiora
8,2021-01-22,1236.51220703125,2021-02-26,1446.03369140625,Official sell,0.16944554464047012,35,0.5852369137770561,-0.004465468609136769,2020-10-21,2021-02-26,1446.03369140625,0.16944554464047012,0.0,same exit as baseline,False,uguale
9,2021-03-17,1823.4493408203125,2021-03-23,1678.650146484375,Official sell,-0.079409496658019,6,0.0,-0.079409496658019,2021-03-17,2021-03-23,1678.650146484375,-0.079409496658019,0.0,same exit as baseline,False,uguale
10,2021-03-31,1918.362060546875,2021-04-07,1971.0772705078125,Trail8 priority,0.02747928091629892,7,0.11721641603281197,0.0,2021-03-31,2021-05-22,2295.70556640625,0.1967008802039194,-0.16922159928762048,exits before baseline,False,peggiora
11,2021-04-17,2344.89501953125,2021-05-12,3785.8486328125,Trail8 priority,0.6145066628907336,25,0.7777773150408811,-0.07621078868760989,2021-03-31,2021-05-22,2295.70556640625,-0.020977251738473646,0.6354839146292073,exits before baseline,True,migliora
12,2021-07-26,2233.36669921875,2021-09-07,3426.394287109375,Trail8 priority,0.5341834765907254,43,0.7695855975216088,0.0,2021-07-26,2021-09-07,3426.394287109375,0.5341834765907254,0.0,same exit as baseline,False,uguale
13,2021-10-01,3307.51611328125,2021-11-23,4340.763671875,Trail8 priority,0.3123938094949166,53,0.45489462107861867,0.0,2021-10-01,2021-11-27,4096.912109375,0.2386673168193949,0.07372649267552167,exits before baseline,True,migliora
14,2021-11-25,4274.7431640625,2021-11-27,4096.912109375,Official sell,-0.04160040682268695,2,0.0,-0.05704067335916796,2021-10-01,2021-11-27,4096.912109375,-0.04160040682268695,0.0,same exit as baseline,False,uguale
15,2021-11-30,4631.47900390625,2021-12-03,4220.7060546875,Trail8 priority,-0.08869152788392187,3,0.0,-0.08869152788392187,2021-11-30,2021-12-04,4119.58740234375,-0.1105244353112178,0.021832907427295933,exits before baseline,True,migliora
16,2023-02-15,1673.7459716796875,2023-03-04,1566.9239501953125,Official sell,-0.06382212312491709,17,0.017284103865366163,-0.06382212312491709,2023-02-15,2023-03-04,1566.9239501953125,-0.06382212312491709,0.0,same exit as baseline,False,uguale
17,2023-03-13,1680.3089599609375,2023-04-19,1936.4034423828125,Trail8 priority,0.15240916315046515,37,0.2616762213922159,-0.014359512770384164,2023-03-13,2023-04-20,1943.09765625,0.15639308160040488,-0.003983918449939727,exits before baseline,False,peggiora
18,2023-05-05,1995.0609130859373,2023-05-08,1849.042724609375,Official sell,-0.07318983972810289,3,0.0,-0.07318983972810289,2023-05-05,2023-05-08,1849.042724609375,-0.07318983972810289,0.0,same exit as baseline,False,uguale
19,2023-05-28,1910.9141845703125,2023-06-01,1862.201416015625,Official sell,-0.025491866117285156,4,0.0,-0.025491866117285156,2023-05-28,2023-06-01,1862.201416015625,-0.025491866117285156,0.0,same exit as baseline,False,uguale
20,2023-06-02,1907.256591796875,2023-06-08,1846.3018798828125,Official sell,-0.0319593662311769,6,0.0,-0.05003428645452712,2023-06-02,2023-06-08,1846.3018798828125,-0.0319593662311769,0.0,same exit as baseline,False,uguale
21,2023-06-21,1891.0072021484373,2023-08-03,1835.136474609375,Official sell,-0.029545486381852837,43,0.06108082101945955,-0.03333462224288197,2023-06-21,2023-08-03,1835.136474609375,-0.029545486381852837,0.0,same exit as baseline,False,uguale
22,2023-11-22,2064.42529296875,2024-01-23,2240.68603515625,Official sell,0.08538005360999423,62,0.26893385270331227,-0.017926507050828322,2023-11-22,2024-01-23,2240.68603515625,0.08538005360999423,0.0,same exit as baseline,False,uguale
23,2024-01-31,2282.54443359375,2024-02-01,2303.82470703125,Official sell,0.009323048929214206,1,0.009323048929214206,0.0,2024-01-31,2024-02-01,2303.82470703125,0.009323048929214206,0.0,same exit as baseline,False,uguale
24,2024-02-06,2372.201904296875,2024-03-15,3735.22021484375,Trail8 priority,0.5745793846965468,38,0.714206982548004,0.0,2024-02-06,2024-03-15,3735.22021484375,0.5745793846965468,0.0,same exit as baseline,False,uguale
25,2024-04-08,3695.292724609375,2024-04-12,3243.034912109375,Official sell,-0.12238754713209021,4,0.0,-0.12238754713209021,2024-04-08,2024-04-12,3243.034912109375,-0.12238754713209021,0.0,same exit as baseline,False,uguale
26,2024-06-20,3511.0869140625,2024-06-24,3350.25634765625,Official sell,-0.045806489654840576,4,0.0014208618736464285,-0.045806489654840576,2024-06-20,2024-06-24,3350.25634765625,-0.045806489654840576,0.0,same exit as baseline,False,uguale
27,2024-07-15,3489.552734375,2024-07-17,3388.75244140625,Official sell,-0.028886307398590994,2,0.0,-0.028886307398590994,2024-07-15,2024-07-17,3388.75244140625,-0.028886307398590994,0.0,same exit as baseline,False,uguale
28,2024-07-19,3505.73486328125,2024-07-25,3174.42724609375,Official sell,-0.09450447056267319,6,0.008805744493711076,-0.09450447056267319,2024-07-19,2024-07-25,3174.42724609375,-0.09450447056267319,0.0,same exit as baseline,False,uguale
29,2024-12-09,3718.6904296875,2024-12-22,3277.53515625,Official sell,-0.1186318898490758,13,0.07228096353434244,-0.1186318898490758,2024-12-09,2024-12-22,3277.53515625,-0.1186318898490758,0.0,same exit as baseline,False,uguale
30,2025-01-07,3381.577392578125,2025-01-08,3326.329345703125,Official sell,-0.016337951334858714,1,0.0,-0.016337951334858714,2025-01-07,2025-01-08,3326.329345703125,-0.016337951334858714,0.0,same exit as baseline,False,uguale
31,2025-07-02,2571.33544921875,2025-07-05,2517.280029296875,Official sell,-0.02102231349795247,3,0.007650450666005781,-0.024429771965754465,2025-07-02,2025-07-05,2517.280029296875,-0.02102231349795247,0.0,same exit as baseline,False,uguale
32,2025-07-07,2543.01318359375,2025-08-18,4312.5048828125,Trail8 priority,0.6958248233373803,42,0.8703307987514044,0.0,2025-07-07,2025-09-23,4165.50390625,0.6380189977479271,0.05780582558945313,exits before baseline,True,migliora
33,2025-08-25,4372.98779296875,2025-09-23,4165.50390625,Official sell,-0.04744671070254525,29,0.07826646608334031,-0.04744671070254525,2025-07-07,2025-09-23,4165.50390625,-0.04744671070254525,0.0,same exit as baseline,False,uguale
34,2025-10-02,4487.923828125,2025-10-10,3843.0087890625,Official sell,-0.14370008577706583,8,0.044530090951542256,-0.14370008577706583,2025-10-02,2025-10-10,3843.0087890625,-0.14370008577706583,0.0,same exit as baseline,False,uguale
